CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	5	66	7.04	71
2	14	78	15.22	92
3	6	65	8.45	71
4	14	84	14.29	98
5	14	61	18.67	75
6	14	110	11.29	124
7	11	93	10.58	104
8	5	93	5.10	98
9	17	85	16.67	102
10	14	103	11.97	117
11	6	67	8.22	73
12	16	101	13.68	117
13	12	78	13.33	90
14	15	95	13.64	110
15	10	89	10.10	99
16	12	81	12.90	93
17	8	76	9.52	84
18	14	108	11.48	122
19	14	87	13.86	101
20	13	91	12.50	104
21	13	108	10.74	121
22	13	98	11.71	111
23	9	93	8.82	102
24	12	96	11.11	108
25	8	84	8.70	92
26	10	88	10.20	98
27	11	71	13.41	82
28	10	100	9.09	110
29	13	79	14.13	92
30	13	100	11.50	113
31	7	87	7.45	94
32	18	97	15.65	115
33	10	93	9.71	103
34	14	89	13.59	103
35	10	73	12.05	83
36	10	84	10.64	94
37	16	92	14.81	108
38	18	96	15.79	114
39	13	96	11.93	109
40	7	118	5.60	125
41	12	107	10.08	119
42	16	96	14.29	112
43	17	103	14.17	120
44	13	70	15.66	83
45	16	98	14.04	114
46	9	84	9.68	93
47	12	92	11.54	104
48	17	97	14.91	114
49	11	102	9.73	113
50	16	97	14.16	113
51	16	90	15.09	106
52	17	110	13.39	127
53	11	105	9.48	116
54	19	101	15.83	120
55	18	93	16.22	111
56	16	98	14.04	114
57	21	90	18.92	111
58	11	99	10.00	110
59	12	87	12.12	99
60	20	91	18.02	111
61	19	99	16.10	118
62	13	84	13.40	97
63	12	113	9.60	125
64	13	73	15.12	86
65	15	115	11.54	130
66	13	95	12.04	108
67	9	94	8.74	103
68	15	92	14.02	107
69	22	95	18.80	117
70	10	96	9.43	106
71	9	94	8.74	103
72	16	88	15.38	104
73	23	97	19.17	120
74	14	92	13.21	106
75	19	83	18.63	102
76	11	95	10.38	106
77	14	91	13.33	105
78	16	106	13.11	122
79	13	87	13.00	100
80	18	101	15.13	119
81	13	95	12.04	108
82	12	105	10.26	117
83	17	99	14.66	116
84	14	78	15.22	92
85	17	99	14.66	116
86	19	83	18.63	102
87	9	106	7.83	115
88	12	99	10.81	111
89	16	91	14.95	107
90	16	98	14.04	114
91	18	87	17.14	105
92	12	114	9.52	126
93	10	91	9.90	101
94	19	80	19.19	99
95	12	88	12.00	100
96	18	114	13.64	132
97	11	84	11.58	95
98	15	116	11.45	131
99	18	100	15.25	118
100	14	97	12.61	111
101	11	120	8.40	131
102	10	109	8.40	119
103	7	86	7.53	93
104	13	93	12.26	106
105	13	104	11.11	117
106	12	84	12.50	96
107	16	88	15.38	104
108	18	96	15.79	114
109	17	97	14.91	114
110	15	97	13.39	112
111	11	90	10.89	101
112	17	100	14.53	117
113	17	95	15.18	112
114	17	104	14.05	121
115	11	101	9.82	112
116	14	77	15.38	91
117	14	91	13.33	105
118	17	76	18.28	93
119	18	92	16.36	110
120	7	81	7.95	88
121	11	95	10.38	106
122	13	92	12.38	105
123	8	96	7.69	104
124	9	86	9.47	95
125	14	81	14.74	95
126	8	67	10.67	75
127	9	86	9.47	95
128	13	100	11.50	113
129	9	89	9.18	98
130	13	104	11.11	117
131	9	96	8.57	105
132	18	87	17.14	105
133	18	98	15.52	116
134	15	86	14.85	101
135	15	89	14.42	104
136	17	82	17.17	99
137	21	80	20.79	101
138	4	81	4.71	85
139	9	95	8.65	104
140	15	83	15.31	98
141	8	84	8.70	92
142	22	79	21.78	101
143	16	77	17.20	93
144	13	67	16.25	80
145	16	72	18.18	88
146	10	80	11.11	90
147	17	89	16.04	106
148	18	82	18.00	100
149	14	92	13.21	106
150	18	77	18.95	95
151	19	81	19.00	100

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1	133	0.75	134
2	1	133	0.75	134
3	0	92	0.00	92
4	0	103	0.00	103
5	1	126	0.79	127
6	1	126	0.79	127
7	0	104	0.00	104
8	1	125	0.79	126
9	1	121	0.82	122
10	0	108	0.00	108
11	1	135	0.74	136
12	0	129	0.00	129
13	2	133	1.48	135
14	0	124	0.00	124
15	1	115	0.86	116
16	1	109	0.91	110
17	0	124	0.00	124
18	0	128	0.00	128
19	0	125	0.00	125
20	2	116	1.69	118
21	0	113	0.00	113
22	0	113	0.00	113
23	1	131	0.76	132
24	0	105	0.00	105
25	0	126	0.00	126
26	2	120	1.64	122
27	0	133	0.00	133
28	0	116	0.00	116
29	1	121	0.82	122
30	2	133	1.48	135
31	0	136	0.00	136
32	1	129	0.77	130
33	1	151	0.66	152
34	2	135	1.46	137
35	2	131	1.50	133
36	0	119	0.00	119
37	1	126	0.79	127
38	0	130	0.00	130
39	0	136	0.00	136
40	2	138	1.43	140
41	0	127	0.00	127
42	0	152	0.00	152
43	1	132	0.75	133
44	1	126	0.79	127
45	1	142	0.70	143
46	0	134	0.00	134
47	0	140	0.00	140
48	1	138	0.72	139
49	3	121	2.42	124
50	1	142	0.70	143
51	1	131	0.76	132
52	0	127	0.00	127
53	1	126	0.79	127
54	0	137	0.00	137
55	0	144	0.00	144
56	4	136	2.86	140
57	0	131	0.00	131
58	1	139	0.71	140
59	2	146	1.35	148
60	2	135	1.46	137
61	1	136	0.73	137
62	1	121	0.82	122
63	0	137	0.00	137
64	3	146	2.01	149
65	2	143	1.38	145
66	0	138	0.00	138
67	2	127	1.55	129
68	0	150	0.00	150
69	2	162	1.22	164
70	2	130	1.52	132
71	1	145	0.68	146
72	0	130	0.00	130
73	1	140	0.71	141
74	0	133	0.00	133
75	1	138	0.72	139
76	0	137	0.00	137
77	1	141	0.70	142
78	0	145	0.00	145
79	0	149	0.00	149
80	0	111	0.00	111
