CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	2	51	3.77	53
2	8	81	8.99	89
3	8	49	14.04	57
4	12	87	12.12	99
5	8	65	10.96	73
6	7	88	7.37	95
7	13	79	14.13	92
8	10	67	12.99	77
9	6	78	7.14	84
10	10	77	11.49	87
11	11	74	12.94	85
12	10	56	15.15	66
13	7	79	8.14	86
14	9	72	11.11	81
15	11	67	14.10	78
16	7	66	9.59	73
17	11	68	13.92	79
18	7	73	8.75	80
19	8	88	8.33	96
20	10	85	10.53	95
21	14	66	17.50	80
22	9	76	10.59	85
23	7	69	9.21	76
24	8	76	9.52	84
25	11	60	15.49	71
26	11	90	10.89	101
27	11	84	11.58	95
28	6	72	7.69	78
29	10	84	10.64	94
30	12	56	17.65	68
31	10	62	13.89	72
32	12	72	14.29	84
33	9	68	11.69	77
34	9	76	10.59	85
35	12	79	13.19	91
36	13	78	14.29	91
37	10	64	13.51	74
38	4	74	5.13	78
39	10	77	11.49	87
40	12	74	13.95	86
41	9	69	11.54	78
42	5	56	8.20	61
43	13	60	17.81	73
44	9	80	10.11	89
45	15	69	17.86	84
46	13	81	13.83	94
47	16	72	18.18	88
48	9	97	8.49	106
49	9	83	9.78	92
50	5	88	5.38	93
51	7	90	7.22	97
52	11	74	12.94	85
53	12	98	10.91	110
54	7	67	9.46	74
55	12	70	14.63	82
56	2	68	2.86	70
57	7	79	8.14	86
58	9	79	10.23	88
59	11	80	12.09	91
60	10	60	14.29	70
61	6	63	8.70	69
62	9	71	11.25	80
63	5	85	5.56	90
64	8	69	10.39	77
65	6	84	6.67	90
66	14	63	18.18	77
67	11	51	17.74	62
68	9	68	11.69	77
69	12	89	11.88	101
70	5	72	6.49	77
71	13	82	13.68	95
72	8	78	9.30	86
73	4	69	5.48	73
74	8	69	10.39	77
75	8	65	10.96	73
76	5	69	6.76	74
77	5	60	7.69	65
78	7	69	9.21	76
79	9	57	13.64	66
80	9	74	10.84	83
81	6	76	7.32	82
82	12	73	14.12	85
83	10	64	13.51	74
84	9	85	9.57	94
85	9	73	10.98	82
86	11	67	14.10	78
87	16	71	18.39	87
88	7	73	8.75	80
89	9	68	11.69	77
90	9	80	10.11	89
91	10	65	13.33	75
92	9	56	13.85	65
93	13	51	20.31	64
94	12	66	15.38	78
95	17	69	19.77	86
96	12	93	11.43	105
97	10	67	12.99	77
98	8	83	8.79	91
99	8	54	12.90	62
100	7	82	7.87	89
101	9	82	9.89	91
102	4	66	5.71	70
103	18	66	21.43	84
104	9	76	10.59	85
105	10	76	11.63	86
106	10	61	14.08	71
107	5	82	5.75	87
108	9	81	10.00	90
109	11	72	13.25	83
110	7	92	7.07	99
111	8	81	8.99	89
112	11	68	13.92	79
113	19	82	18.81	101
114	7	83	7.78	90
115	8	56	12.50	64
116	12	91	11.65	103
117	9	84	9.68	93
118	8	67	10.67	75
119	15	71	17.44	86
120	7	71	8.97	78
121	9	86	9.47	95
122	8	76	9.52	84
123	13	68	16.05	81
124	9	81	10.00	90
125	9	81	10.00	90
126	8	56	12.50	64
127	10	71	12.35	81
128	10	71	12.35	81
129	10	66	13.16	76
130	8	66	10.81	74
131	10	74	11.90	84
132	9	83	9.78	92
133	9	74	10.84	83
134	14	70	16.67	84
135	14	70	16.67	84
136	7	68	9.33	75
137	13	59	18.06	72
138	7	71	8.97	78
139	8	55	12.70	63
140	10	70	12.50	80
141	7	73	8.75	80
142	13	76	14.61	89
143	12	70	14.63	82
144	13	65	16.67	78
145	12	46	20.69	58
146	12	62	16.22	74
147	9	67	11.84	76
148	8	81	8.99	89
149	13	68	16.05	81
150	12	53	18.46	65
151	18	58	23.68	76

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1	147	0.68	148
2	1	98	1.01	99
3	1	95	1.04	96
4	1	88	1.12	89
5	1	125	0.79	126
6	0	110	0.00	110
7	1	89	1.11	90
8	0	85	0.00	85
9	0	99	0.00	99
10	0	109	0.00	109
11	0	101	0.00	101
12	0	114	0.00	114
13	0	136	0.00	136
14	1	110	0.90	111
15	0	104	0.00	104
16	2	96	2.04	98
17	1	110	0.90	111
18	1	109	0.91	110
19	1	128	0.78	129
20	1	121	0.82	122
21	0	121	0.00	121
22	1	115	0.86	116
23	0	99	0.00	99
24	0	84	0.00	84
25	0	132	0.00	132
26	1	117	0.85	118
27	0	128	0.00	128
28	1	106	0.93	107
29	0	99	0.00	99
30	0	124	0.00	124
31	0	120	0.00	120
32	2	102	1.92	104
33	1	111	0.89	112
34	0	108	0.00	108
35	1	114	0.87	115
36	1	107	0.93	108
37	0	91	0.00	91
38	0	111	0.00	111
39	1	107	0.93	108
40	0	104	0.00	104
41	0	104	0.00	104
42	0	111	0.00	111
43	0	113	0.00	113
44	1	108	0.92	109
45	0	111	0.00	111
46	3	105	2.78	108
47	0	114	0.00	114
48	0	117	0.00	117
49	0	119	0.00	119
50	1	123	0.81	124
51	0	115	0.00	115
52	0	135	0.00	135
53	1	124	0.80	125
54	0	113	0.00	113
55	0	117	0.00	117
56	0	95	0.00	95
57	0	115	0.00	115
58	0	112	0.00	112
59	1	111	0.89	112
60	0	101	0.00	101
61	0	108	0.00	108
62	1	108	0.92	109
63	0	132	0.00	132
64	1	103	0.96	104
65	1	124	0.80	125
66	0	113	0.00	113
67	0	129	0.00	129
68	0	107	0.00	107
69	1	103	0.96	104
70	1	119	0.83	120
71	0	107	0.00	107
72	0	102	0.00	102
73	1	124	0.80	125
74	0	110	0.00	110
75	1	100	0.99	101
76	0	118	0.00	118
77	2	99	1.98	101
78	1	124	0.80	125
79	1	120	0.83	121
80	0	111	0.00	111
81	0	127	0.00	127
82	1	109	0.91	110
83	0	94	0.00	94
84	0	94	0.00	94
85	0	121	0.00	121
86	0	122	0.00	122
87	2	91	2.15	93
88	1	129	0.77	130
89	0	102	0.00	102
90	2	98	2.00	100
91	0	107	0.00	107
92	1	120	0.83	121
93	0	114	0.00	114
94	1	111	0.89	112
95	1	100	0.99	101
96	0	114	0.00	114
97	0	104	0.00	104
98	1	127	0.78	128
99	1	107	0.93	108
100	0	98	0.00	98
101	0	115	0.00	115
102	1	131	0.76	132
103	1	112	0.88	113
104	2	119	1.65	121
105	1	114	0.87	115
106	2	111	1.77	113
107	0	102	0.00	102
108	1	99	1.00	100
109	1	123	0.81	124
110	0	113	0.00	113
111	0	124	0.00	124
112	2	117	1.68	119
113	2	103	1.90	105
114	0	102	0.00	102
115	1	106	0.93	107
116	2	110	1.79	112
117	0	123	0.00	123
118	0	114	0.00	114
119	2	106	1.85	108
120	0	110	0.00	110
